Gene ID	P value	avg_log(Foldchange)	pct.1 (enriched cluster)	pct.2 (other clusters)	adjusted P value	cluster
LOC-Os07g44940	6.41E-54	0.430758618	0.611	0.236	2.51E-49	endodermis
LOC-Os02g14860	1.19E-53	0.355549367	0.646	0.247	4.68E-49	endodermis
LOC-Os04g37690	4.17E-53	0.578769971	0.853	0.551	1.64E-48	endodermis
LOC-Os02g55134	6.34E-53	0.318134127	0.551	0.183	2.49E-48	endodermis
LOC-Os12g43670	1.33E-51	0.258818114	0.428	0.123	5.22E-47	endodermis
LOC-Os03g05260	1.63E-51	0.460230579	0.688	0.312	6.40E-47	endodermis
LOC-Os03g50510	2.13E-51	0.274144893	0.463	0.132	8.36E-47	endodermis
LOC-Os01g16540	7.11E-51	0.264801631	0.449	0.131	2.79E-46	endodermis
LOC-Os01g41610	9.35E-51	0.513865786	0.968	0.854	3.67E-46	endodermis
LOC-Os08g032901	1.12E-50	0.65229155	0.923	0.7	4.41E-46	endodermis
LOC-Os03g14450	1.54E-50	0.803143437	0.839	0.55	6.05E-46	endodermis
LOC-Os12g32240	1.88E-50	0.540337994	0.789	0.435	7.36E-46	endodermis
LOC-Os01g06290	3.02E-50	0.369149429	0.642	0.255	1.19E-45	endodermis
LOC-Os03g18590	5.87E-50	0.276748625	0.439	0.131	2.30E-45	endodermis
LOC-Os06g02380	1.86E-49	0.264329175	0.442	0.125	7.31E-45	endodermis
LOC-Os09g27230	3.33E-49	0.373916576	0.481	0.149	1.31E-44	endodermis
LOC-Os12g29670	1.87E-48	0.37976899	0.618	0.249	7.35E-44	endodermis
LOC-Os05g41180	2.06E-48	0.356026581	0.621	0.249	8.08E-44	endodermis
LOC-Os02g26720	3.53E-48	0.523983026	0.537	0.188	1.38E-43	endodermis
LOC-Os05g40780	3.68E-48	0.412462454	0.575	0.23	1.44E-43	endodermis
LOC-Os03g26970	9.29E-48	0.34027901	0.565	0.212	3.64E-43	endodermis
LOC-Os05g43830	1.92E-47	0.285365513	0.446	0.13	7.52E-43	endodermis
LOC-Os07g40580	2.22E-47	0.511303785	1	0.963	8.72E-43	endodermis
LOC-Os08g13699	2.64E-47	0.352235206	0.628	0.245	1.03E-42	endodermis
LOC-Os04g400401	7.67E-47	0.399849883	0.667	0.275	3.01E-42	endodermis
LOC-Os05g16274	1.18E-46	0.487328507	0.919	0.708	4.61E-42	endodermis
LOC-Os02g55640	1.53E-46	0.524170246	0.972	0.865	5.98E-42	endodermis
LOC-Os01g21440	2.31E-46	0.503055435	0.951	0.836	9.06E-42	endodermis
LOC-Os02g35950	3.02E-46	0.378111939	0.498	0.18	1.18E-41	endodermis
LOC-Os01g09640	1.00E-45	0.312720336	0.319	0.078	3.92E-41	endodermis
LOC-Os02g55060	1.24E-45	0.51563646	0.786	0.452	4.86E-41	endodermis
LOC-Os12g18880	1.86E-45	0.469269461	0.821	0.525	7.28E-41	endodermis
LOC-Os05g11780	2.55E-45	0.705179802	0.74	0.407	1.00E-40	endodermis
LOC-Os11g44680	4.42E-45	0.292174021	0.396	0.115	1.73E-40	endodermis
LOC-Os05g45950	1.42E-44	0.626505532	0.751	0.416	5.58E-40	endodermis
